product name,price,url
"        Garmin Instinct, Rugged Outdoor Smart Watch with GPS, Wireless Bluetooth - Black       ",,https://www.amazon.in/Garmin-010-02064-00-Instinct-Monitoring-Graphite/dp/B07HYX9P88/
,,https://www.amazon.in/Rockerz-370-Headphone-Bluetooth-Lightweight/dp/B0856HRTJG/
"        Logitech MK215 Wireless Keyboard and Mouse Combo for Windows, 2.4 GHz Wireless, Compact Design, 2-Year Battery Life(Keyboard),5 Month Battery Life(Mouse) PC/Laptop- Black       ",1295,https://www.amazon.in/Logitech-MK215-Wireless-Keyboard-Mouse/dp/B012MQS060/
        Logitech G 512 RGB Backlit Mechanical Wired Gaming Keyboard with GX Blue Clicky Key Switches (Carbon)       ,9955,https://www.amazon.in/Logitech-G512-Mechanical-Keyboard-Black/dp/B07BVCSRXL/
